stripper - Spec Value (Duty),stripper - Stage Pressure (Condenser),stripper - Stage Pressure (Reboiler),DEA6 - Temperature,DEA6 - CO2 Composition(mole %),DEA6 - H2S Composition(ppm),DEA6 - Acid Gas Temperature,DEA7 - Temperature,DEA7 - CO2 Composition(mole %),DEA7 - H2S Composition(ppm)
10900000.0,20.3,23.3,210,0.03972,171.7,210,268.3,0.0212,107.2
10900000.0,20.3,23.3,210,0.03972,171.7,210,268.3,0.02141,103.4
10900000.0,20.3,23.3,210,0.03972,171.7,210,268.3,0.02149,106.6
10900000.0,20.3,23.3,210,0.03972,171.7,210,268.3,0.02149,104.1
10900000.0,20.3,23.3,210,0.03972,171.7,210,268.3,0.02145,106.6
10900000.0,20.3,23.3,210,0.03972,171.7,210,268.3,0.02144,106.6
10900000.0,20.3,23.3,210,0.03972,171.7,210,268.3,0.02153,104.3
10900000.0,20.3,23.3,210,0.03972,171.7,210,268.3,0.02153,104.3
10900000.0,20.3,23.3,210,0.03972,171.7,210,268.3,0.02153,104.4
10900000.0,20.3,23.3,210,0.03972,171.7,210,268.3,0.02152,104.4
10900000.0,20.3,23.3,210,0.03972,171.7,210,268.3,0.02152,104.4
10900000.0,20.3,23.3,210,0.03972,171.7,210,268.3,0.02152,104.5
10900000.0,20.3,23.3,210,0.03972,171.7,210,268.3,0.02152,104.5
10900000.0,20.3,23.3,210,0.03972,171.7,210,268.3,0.02151,104.5
10900000.0,20.3,23.3,210,0.03972,171.7,210,268.3,0.02151,104.6
10900000.0,20.3,23.3,210,0.03972,171.7,210,268.3,0.02151,104.6
10900000.0,20.3,23.3,210,0.03972,171.7,210,268.3,0.02151,104.6
10900000.0,20.3,23.3,210,0.03972,171.7,210,268.3,0.02151,104.7
10900000.0,20.3,23.3,210,0.03972,171.7,210,268.3,0.0215,104.7
10900000.0,20.3,23.3,210,0.03972,171.7,210,268.3,0.0215,104.7
10900000.0,20.3,23.3,210,0.03972,171.7,210,268.3,0.0215,104.8
10900000.0,20.3,23.3,210,0.03972,171.7,210,268.3,0.0215,104.8
10900000.0,20.3,23.3,210,0.03972,171.7,210,268.3,0.0215,104.8
10900000.0,20.3,23.3,210,0.03972,171.7,210,268.3,0.02149,104.8
10900000.0,20.3,23.3,210,0.03972,171.7,210,268.3,0.02149,104.9
10900000.0,20.3,23.3,210,0.03972,171.7,210,268.3,0.02149,104.9
10900000.0,20.3,23.3,210,0.03972,171.7,210,268.3,0.02149,104.9
10900000.0,20.3,23.3,210,0.03972,171.7,210,268.3,0.02149,104.9
10900000.0,20.3,23.3,210,0.03972,171.7,210,268.3,0.02149,105.0
10900000.0,20.3,23.3,210,0.03972,171.7,210,268.3,0.02149,105.0
10900000.0,20.3,23.3,210,0.03972,171.7,210,268.3,0.02149,105.0
10900000.0,20.3,23.3,210,0.03972,171.7,210,268.3,0.02149,105.0
10900000.0,20.3,23.3,210,0.03972,171.7,210,268.3,0.02148,105.0
10900000.0,20.3,23.3,210,0.03972,171.7,210,268.3,0.02148,105.0
10900000.0,20.3,23.3,210,0.03972,171.7,210,268.3,0.02148,105.0
10900000.0,20.3,23.3,210,0.03972,171.7,210,268.3,0.02148,105.1
10900000.0,20.3,23.3,210,0.03972,171.7,210,268.3,0.02148,105.1
10900000.0,20.3,23.3,210,0.03972,171.7,210,268.3,0.02148,105.1
10900000.0,20.3,23.3,210,0.03972,171.7,210,268.3,0.02148,105.1
10900000.0,20.3,23.3,210,0.03972,171.7,210,268.3,0.02148,105.1
10900000.0,20.3,23.3,210,0.03972,171.7,210,268.3,0.02148,105.1
10900000.0,20.3,23.3,210,0.03972,171.7,210,268.3,0.02148,105.1
10900000.0,20.3,23.3,210,0.03972,171.7,210,268.3,0.02148,105.1
10900000.0,20.3,23.3,210,0.03972,171.7,210,268.3,0.02148,105.1
10900000.0,20.3,23.3,210,0.03972,171.7,210,268.3,0.02148,105.1
10900000.0,20.3,23.3,210,0.03972,171.7,210,268.3,0.02148,105.1
10900000.0,20.3,23.3,210,0.03972,171.7,210,268.3,0.02148,105.1
10900000.0,20.3,23.3,210,0.03972,171.7,210,268.3,0.02148,105.2
10900000.0,20.3,23.3,210,0.03972,171.7,210,268.3,0.02148,105.2
10900000.0,20.3,23.3,210,0.03972,171.7,210,268.3,0.02148,105.2
10900000.0,20.3,23.3,210,0.03972,171.7,210,268.3,0.02148,105.2
10900000.0,20.3,23.3,210,0.03972,171.7,210,268.3,0.02148,105.2
10900000.0,20.3,23.3,210,0.03972,171.7,210,268.3,0.02148,105.2
10900000.0,20.3,23.3,210,0.03972,171.7,210,268.3,0.02148,105.2
10900000.0,20.3,23.3,210,0.03972,171.7,210,268.3,0.02148,105.2
10900000.0,20.3,23.3,210,0.03972,171.7,210,268.3,0.02148,105.2
10900000.0,20.3,23.3,210,0.03972,171.7,210,268.3,0.02148,105.2
10900000.0,20.3,23.3,210,0.03972,171.7,210,268.3,0.02148,105.2
10900000.0,20.3,23.3,210,0.03972,171.7,210,268.3,0.02148,105.2
10900000.0,20.3,23.3,210,0.03972,171.7,210,268.3,0.02148,105.2
10900000.0,20.3,23.3,210,0.03972,171.7,210,268.3,0.02148,105.2
10900000.0,20.3,23.3,210,0.03972,171.7,210,268.3,0.02148,105.2
10900000.0,20.3,23.3,210,0.03972,171.7,210,268.3,0.02148,105.2
10900000.0,20.3,23.3,210,0.03972,171.7,210,268.3,0.02148,105.2
10900000.0,20.3,23.3,210,0.03972,171.7,210,268.3,0.02148,105.2
10900000.0,20.3,23.3,210,0.03972,171.7,210,268.3,0.02148,105.2
10900000.0,20.3,23.3,210,0.03972,171.7,210,268.3,0.02148,105.2
10900000.0,20.3,23.3,210,0.03972,171.7,210,268.3,0.02148,105.2
10900000.0,20.3,23.3,210,0.03972,171.7,210,268.3,0.02148,105.2
10900000.0,20.3,23.3,210,0.03972,171.7,210,268.3,0.02148,105.2
10900000.0,20.3,23.3,210,0.03972,171.7,210,268.3,0.02148,105.2
10900000.0,20.3,23.3,210,0.03972,171.7,210,268.3,0.02148,105.2
10900000.0,20.3,23.3,210,0.03972,171.7,210,268.3,0.02148,105.2
10900000.0,20.3,23.3,210,0.03972,171.7,210,268.3,0.02148,105.2
10900000.0,20.3,23.3,210,0.03972,171.7,210,268.3,0.02148,105.2
10900000.0,20.3,23.3,210,0.03972,171.7,210,268.3,0.02148,105.2
11000000.0,20.3,23.3,210,0.03972,171.7,210,268.3,0.02148,105.2
11000000.0,20.3,23.3,210,0.03972,171.7,210,268.3,0.02148,105.2
11000000.0,20.3,23.3,210,0.03972,171.7,210,268.3,0.02148,105.2
11000000.0,20.3,23.3,210,0.03972,171.7,210,268.3,0.02145,105.1
11000000.0,20.3,23.3,210,0.03972,171.7,210,268.3,0.02145,105.1
11000000.0,20.3,23.3,210,0.03972,171.7,210,268.3,0.02145,105.1
